# N time_s adds subs muls divs peak_bytes peak_calls
1 0.000002 0 0 0 0 0 0
2 0.000008 0 1 3 2 104 2
3 0.000037 38 30 39 8 520 3
4 0.000025 38 30 39 8 520 3
5 0.000150 310 195 264 24 1384 4
6 0.000138 310 195 264 24 1384 4
7 0.000234 628 382 333 24 2184 4
8 0.000225 628 382 333 24 2184 4
9 0.000774 1814 955 1386 64 3848 5
10 0.000575 1814 955 1386 64 3848 5
11 0.000787 2132 1056 1602 64 5032 5
12 0.000663 2132 1056 1602 64 5032 5
13 0.001074 4396 2205 2397 64 7848 6
14 0.001235 4396 2205 2397 64 7848 6
15 0.001673 6532 3606 2499 64 8840 5
16 0.001764 6532 3606 2499 64 8840 5
17 0.002809 11118 5291 6828 160 13064 6
18 0.002950 11118 5291 6828 160 13064 6
19 0.003113 11934 5472 7458 160 14248 6
20 0.003119 11934 5472 7458 160 14248 6
21 0.006903 14794 6121 9747 160 20136 7
22 0.003386 14794 6121 9747 160 20136 7
23 0.003607 16486 6972 10266 160 20008 6
24 0.003609 16486 6972 10266 160 20008 6
25 0.005605 26312 10897 15339 160 27816 7
26 0.005382 26312 10897 15339 160 27816 7
27 0.005837 27842 11158 16599 160 28232 7
28 0.006101 27842 11158 16599 160 28232 7
29 0.010155 42494 19623 19104 160 38216 8
30 0.007884 42494 19623 19104 160 38216 8
31 0.009821 56180 29626 17925 160 35464 6
32 0.010520 56180 29626 17925 160 35464 6
33 0.013317 73366 34175 34782 384 47880 7
34 0.013243 73366 34175 34782 384 47880 7
35 0.013430 75826 34516 36888 384 46760 7
36 0.013360 75826 34516 36888 384 46760 7
37 0.013977 83730 35677 43749 384 61864 8
38 0.013969 83730 35677 43749 384 61864 8
39 0.014339 87156 37192 45078 384 55848 7
40 0.014227 87156 37192 45078 384 55848 7
41 0.015528 102886 39509 59139 384 73896 8
42 0.015585 102886 39509 59139 384 73896 8
43 0.015576 106492 39930 62307 384 70472 8
44 0.015513 106492 39930 62307 384 70472 8
45 0.017521 121112 45127 69978 384 91720 9
46 0.017346 121112 45127 69978 384 91720 9
47 0.019394 129362 51384 69054 384 79912 7
48 0.019145 129362 51384 69054 384 79912 7
49 0.023918 167580 62637 94383 384 104616 8
50 0.023836 167580 62637 94383 384 104616 8
51 0.023920 172548 63138 98829 384 98120 8
52 0.023777 172548 63138 98829 384 98120 8
53 0.024554 187944 64811 112710 384 126536 9
54 0.024589 187944 64811 112710 384 126536 9
55 0.025022 193464 66990 115209 384 109768 8
56 0.024892 193464 66990 115209 384 109768 8
57 0.034875 254338 95419 135918 384 142152 9
58 0.034533 254338 95419 135918 384 142152 9
59 0.034906 260884 96000 141858 384 131816 9
60 0.034605 260884 96000 141858 384 131816 9
61 0.054244 351252 156141 143157 384 168424 10
