# N time_s adds subs muls divs peak_bytes peak_calls
130 0.503951 2752097 52643 2860744 2176 684616 9
140 0.523592 3320261 56009 3437324 2176 787432 9
150 0.593074 4117066 62154 4247778 2176 906632 9
160 0.667911 4861656 65976 5001952 2176 1024552 9
170 0.736065 6022303 76885 6185108 2176 1165192 9
180 0.940855 7049079 83347 7226532 2176 1300616 9
190 1.065802 8266828 88944 8457694 2176 1450312 9
200 1.236357 9623694 102982 9842840 2176 1602952 9
210 1.602969 11362637 113431 11604288 2176 1776392 9
220 1.917521 12802721 118757 13057708 2176 1940008 9
230 2.535157 14795726 131702 15077882 2176 2126248 9
240 3.170901 16509676 137484 16806336 2176 2304968 9
250 3.910808 18983171 149841 19306492 2176 2512072 9
260 4.270809 21388123 190535 21786932 4864 2712616 10
270 3.989838 23887592 198532 24305574 4864 2926952 10
280 4.087235 26406330 208514 26847016 4864 3139432 10
290 4.384001 29886521 227371 30366104 4864 3382216 10
300 4.519899 32596925 234657 33094764 4864 3606632 10
310 4.751376 36120930 247442 36647218 4864 3857032 10
320 5.034515 39202640 255184 39748352 4864 4096552 10
330 5.276784 43800583 282573 44400900 4864 4374248 10
340 5.801969 47554799 294795 48182884 4864 4633192 10
350 6.135276 51791988 305192 52445006 4864 4912168 10
360 6.812038 56172422 323390 56864088 4864 5188616 10
370 7.577662 61677205 341839 62408656 4864 5497096 10
380 7.801220 66056329 351085 66810956 4864 5782312 10
390 8.858930 72103222 389454 72932490 4864 6102632 10
400 9.680018 76951092 399156 77804704 4864 6402952 10
410 10.948158 83712667 419513 84610220 4864 6745096 10
420 12.485075 89722947 440879 90665844 4864 7068392 10
430 14.503710 96153856 453676 97127446 4864 7412008 10
440 15.991095 102460834 469418 103470248 4864 7748008 10
450 18.016502 111111633 506995 112195944 4864 8128232 10
460 20.113486 117557877 518201 118670284 4864 8474248 10
470 21.482890 125748282 537626 126903938 4864 8855848 10
480 25.657638 132760712 549288 133945632 4864 9216968 10
490 25.146575 142791759 580837 144041908 4864 9629608 10
500 27.434774 150982215 598819 152273252 4864 10012072 10
510 39.835875 160062844 614016 161390334 4864 10420328 10
520 36.659760 169817854 712118 171324952 10752 10824616 11
530 40.991276 181200477 738567 182764640 10752 11268136 11
540 39.653588 190112241 751733 191709420 10752 11674952 11
550 38.816898 201789886 782598 203451994 10752 12125512 11
560 39.561418 211365276 796220 213061568 10752 12547432 11
570 46.855213 224526931 824577 226284444 10752 13024616 11
580 46.802573 236347819 864663 238186420 10752 13474216 11
590 42.012936 248534168 882260 250414982 10752 13947112 11
600 42.922156 260338186 903762 262267944 10752 14406632 11
610 39.933685 275983497 943259 277994872 10752 14921416 11
620 39.966707 287759181 958385 289808492 10752 15389032 11
630 41.276809 302555186 984450 304662546 10752 15901832 11
640 46.037184 315091936 1000032 317238400 10752 16384552 11
650 47.931856 333414615 1068093 335693156 10752 16936264 11
660 44.830123 347750111 1091835 350082660 10752 17442248 11
670 46.942720 363498180 1111832 365878702 10752 17979784 11
680 47.834150 379339734 1146190 381793304 10752 18505192 11
690 61.000131 398712197 1180639 401240112 10752 19083752 11
700 60.656736 413750201 1197725 416320972 10752 19612168 11
710 66.231723 433721862 1250430 436398890 10752 20197096 11
720 68.770344 449618372 1267972 452339424 10752 20740616 11
730 72.870743 471292107 1304329 474091660 10752 21352840 11
740 78.105395 490117107 1341855 492996404 10752 21925096 11
750 69.376247 509882896 1364252 512815926 10752 22527272 11
760 74.323813 528892754 1391514 531887848 10752 23110312 11
770 75.288358 554915393 1493443 558103688 10752 23765416 11
780 77.667954 573614117 1512489 576850188 10752 24354632 11
790 79.928189 596954922 1545194 600263842 10752 24998632 11
800 86.950898 616609592 1564696 619967456 10752 25602952 11
810 96.227129 644247039 1616885 647712852 10752 26287592 11
820 97.919940 666436375 1646387 669969316 10752 26917096 11
830 99.182214 690675884 1671184 694268318 10752 27583912 11
840 101.842234 715522990 1728742 719232024 10752 28236392 11
850 111.641314 744997293 1771191 748797952 10752 28949992 11
860 116.174540 767755137 1792197 771608492 10752 29600008 11
870 123.975466 797162222 1840982 801118266 10752 30314888 11
880 127.839169 820973452 1862444 824983360 10752 30980008 11
890 129.970752 853271267 1906801 857376956 10752 31727272 11
900 141.112660 882293627 1988327 886558644 10752 32428232 11
910 144.652453 911462856 2015524 915793126 10752 33159688 11
920 148.527933 939387354 2048546 943792808 10752 33866248 11
930 154.470577 975933785 2108683 980463576 10752 34653032 11
940 158.753290 1003149149 2131649 1007736556 10752 35363848 11
950 169.544613 1036973954 2170994 1041649010 10752 36139048 11
960 175.425543 1065340144 2194416 1070073984 10752 36864968 11
970 185.076412 1105857127 2274285 1110750532 10752 37688584 11
980 195.614490 1137609103 2309547 1142582756 10752 38441608 11
990 206.355520 1172164052 2339144 1177208718 10752 39237704 11
1000 215.298247 1206589926 2389662 1211742040 10752 40012072 11
