# N time_s adds subs muls divs peak_bytes peak_calls
1 0.000001 0 0 0 0 0 0
2 0.000007 0 2 8 3 136 2
3 0.000022 29 17 76 10 616 3
4 0.000015 29 17 76 10 616 3
5 0.000080 226 90 426 28 1640 4
6 0.000070 226 90 426 28 1640 4
7 0.000115 394 98 632 28 2536 4
8 0.000144 394 98 632 28 2536 4
9 0.000459 1375 357 2116 72 4552 5
10 0.000522 1375 357 2116 72 4552 5
11 0.000536 1805 369 2604 72 5960 5
12 0.000525 1805 369 2604 72 5960 5
13 0.001152 3152 460 4166 72 8296 5
14 0.001091 3152 460 4166 72 8296 5
15 0.001605 3964 476 5056 72 10216 5
16 0.001511 3964 476 5056 72 10216 5
17 0.004007 8269 1271 10848 176 14120 6
18 0.002476 8269 1271 10848 176 14120 6
19 0.002687 9583 1291 12260 176 16552 6
20 0.004138 9583 1291 12260 176 16552 6
21 0.003215 13146 1434 16162 176 20296 6
22 0.003288 13146 1434 16162 176 20296 6
23 0.005158 15082 1458 18216 176 23240 6
24 0.003614 15082 1458 18216 176 23240 6
25 0.006942 22379 1865 26348 176 28360 6
26 0.006606 22379 1865 26348 176 28360 6
27 0.008630 25057 1893 29164 176 31816 6
28 0.008822 25057 1893 29164 176 31816 6
29 0.010854 31892 2088 36462 176 36968 6
30 0.011884 31892 2088 36462 176 36968 6
31 0.012662 35432 2120 40160 176 40936 6
32 0.011649 35432 2120 40160 176 40936 6
33 0.014819 53273 4363 62104 416 48520 7
34 0.014842 53273 4363 62104 416 48520 7
35 0.010459 57795 4399 66804 416 53000 7
36 0.009642 57795 4399 66804 416 53000 7
37 0.010113 68958 4646 78554 416 59560 7
38 0.010546 68958 4646 78554 416 59560 7
39 0.010582 74582 4686 84376 416 64552 7
40 0.010381 74582 4686 84376 416 64552 7
41 0.012727 94175 5333 105300 416 72872 7
42 0.014365 94175 5333 105300 416 72872 7
43 0.014506 101021 5377 112364 416 78376 7
44 0.015951 101021 5377 112364 416 78376 7
45 0.018747 117568 5676 129622 416 86344 7
46 0.020245 117568 5676 129622 416 86344 7
47 0.020851 125756 5724 138048 416 92360 7
48 0.018535 125756 5724 138048 416 92360 7
49 0.026161 159685 7135 174704 416 102952 7
50 0.025853 159685 7135 174704 416 102952 7
51 0.026559 169335 7187 184612 416 109480 7
52 0.026172 169335 7187 184612 416 109480 7
53 0.033184 192322 7538 208434 416 118856 7
54 0.031608 192322 7538 208434 416 118856 7
55 0.033811 203554 7594 219944 416 125896 7
56 0.035999 203554 7594 219944 416 125896 7
57 0.051185 241395 8481 259612 416 137416 7
58 0.044231 241395 8481 259612 416 137416 7
59 0.050053 254329 8541 272844 416 144968 7
60 0.047992 254329 8541 272844 416 144968 7
61 0.055030 284812 8944 304286 416 155752 7
62 0.056573 284812 8944 304286 416 155752 7
63 0.067928 299568 9008 319360 416 163816 7
64 0.065194 299568 9008 319360 416 163816 7
65 0.069022 371633 14995 402216 960 178664 8
66 0.067243 371633 14995 402216 960 178664 8
67 0.068971 388331 15063 419252 960 187240 8
68 0.069675 388331 15063 419252 960 187240 8
69 0.072827 427366 15518 459370 960 199432 8
70 0.069816 427366 15518 459370 960 199432 8
71 0.070963 446126 15590 478488 960 208520 8
72 0.072607 446126 15590 478488 960 208520 8
73 0.072644 508167 16717 542852 960 223240 8
74 0.075714 508167 16717 542852 960 223240 8
75 0.083665 529109 16793 564172 960 232840 8
76 0.077007 529109 16793 564172 960 232840 8
77 0.082719 577752 17300 614022 960 246440 8
78 0.080531 577752 17300 614022 960 246440 8
79 0.085526 600996 17380 637664 960 256552 8
80 0.080126 600996 17380 637664 960 256552 8
81 0.092827 693037 19639 734080 960 273928 8
82 0.120451 693037 19639 734080 960 273928 8
83 0.116332 718703 19723 760164 960 284552 8
84 0.097233 718703 19723 760164 960 284552 8
85 0.096825 778010 20282 820802 960 299560 8
86 0.094730 778010 20282 820802 960 299560 8
87 0.102378 806218 20370 849448 960 310696 8
88 0.101747 806218 20370 849448 960 310696 8
89 0.109207 898411 21737 944460 960 328616 8
90 0.114645 898411 21737 944460 960 328616 8
91 0.120965 929281 21829 975788 960 340264 8
92 0.112930 929281 21829 975788 960 340264 8
93 0.125962 1000308 22440 1048270 960 356680 8
94 0.129797 1000308 22440 1048270 960 356680 8
95 0.133657 1033960 22536 1082400 960 368840 8
96 0.145564 1033960 22536 1082400 960 368840 8
97 0.225417 1180617 26843 1237112 960 390280 8
98 0.256906 1180617 26843 1237112 960 390280 8
99 0.267771 1217171 26943 1274164 960 402952 8
100 0.170695 1217171 26943 1274164 960 402952 8
110 0.246792 1609200 30140 1673846 960 488008 8
120 0.414266 2048498 34362 2122728 960 576968 8
