# N time_s adds subs muls divs peak_bytes peak_calls
1 0.000002 0 0 0 1 0 0
2 0.000006 1 3 6 2 104 2
3 0.000028 78 54 54 4 520 3
4 0.000028 78 54 54 4 520 3
5 0.000096 321 171 264 8 1384 4
6 0.000090 321 171 264 8 1384 4
7 0.000206 964 552 402 8 2184 4
8 0.000188 964 552 402 8 2184 4
9 0.000354 1771 813 1188 16 3848 5
10 0.000337 1771 813 1188 16 3848 5
11 0.000431 2418 1026 1620 16 5032 5
12 0.000401 2418 1026 1620 16 5032 5
13 0.000769 4401 1827 2658 16 7848 6
14 0.000763 4401 1827 2658 16 7848 6
15 0.002065 8688 4644 2862 16 8840 5
16 0.001538 8688 4644 2862 16 8840 5
17 0.001970 11519 5217 5736 32 13064 6
18 0.003852 11519 5217 5736 32 13064 6
19 0.001858 13170 5598 6996 32 14248 6
20 0.001708 13170 5598 6996 32 14248 6
21 0.001728 16345 6087 9846 32 20136 7
22 0.002106 16345 6087 9846 32 20136 7
23 0.003204 19752 7812 10884 32 20008 6
24 0.003430 19752 7812 10884 32 20008 6
25 0.004367 26407 9489 15774 32 27816 7
26 0.004135 26407 9489 15774 32 27816 7
27 0.004455 29494 10038 18294 32 28232 7
28 0.004182 29494 10038 18294 32 28232 7
29 0.006533 41709 15759 22488 32 38216 8
30 0.006624 41709 15759 22488 32 38216 8
31 0.013558 69112 35796 20130 32 35464 6
32 0.012636 69112 35796 20130 32 35464 6
33 0.009198 79511 37041 30780 64 47880 7
34 0.014767 79511 37041 30780 64 47880 7
35 0.012808 84466 37758 34992 64 46760 7
36 0.012784 84466 37758 34992 64 46760 7
37 0.013227 93745 38631 43674 64 61864 8
38 0.013301 93745 38631 43674 64 61864 8
39 0.011405 100636 41700 46332 64 55848 7
40 0.008655 100636 41700 46332 64 55848 7
41 0.009401 114347 42801 59598 64 73896 8
42 0.009742 114347 42801 59598 64 73896 8
43 0.010026 121602 43686 65934 64 70472 8
44 0.009161 121602 43686 65934 64 70472 8
45 0.010763 137305 47271 77124 64 91720 9
46 0.011444 137305 47271 77124 64 91720 9
47 0.014224 153852 59832 75276 64 79912 7
48 0.014566 153852 59832 75276 64 79912 7
49 0.017408 177723 63333 95862 64 104616 8
50 0.026134 177723 63333 95862 64 104616 8
51 0.025171 187710 64386 104754 64 98120 8
52 0.022633 187710 64386 104754 64 98120 8
53 0.016426 206261 65643 122436 64 126536 9
54 0.016128 206261 65643 122436 64 126536 9
55 0.017949 217356 70056 127434 64 109768 8
56 0.016538 217356 70056 127434 64 109768 8
57 0.019369 256123 81669 150444 64 142152 9
58 0.018447 256123 81669 150444 64 142152 9
59 0.018710 269274 82890 162324 64 131816 9
60 0.018902 269274 82890 162324 64 131816 9
61 0.027644 340521 123147 174354 64 168424 10
62 0.028290 340521 123147 174354 64 168424 10
63 0.079668 518040 264060 141102 64 141960 7
64 0.066210 518040 264060 141102 64 141960 7
65 0.059593 557527 266745 181416 128 183048 8
66 0.058329 557527 266745 181416 128 183048 8
67 0.058178 574274 268134 196716 128 168104 8
68 0.065250 574274 268134 196716 128 168104 8
69 0.066669 605265 269775 226566 128 213928 9
70 0.063972 605265 269775 226566 128 213928 9
71 0.064197 621284 275532 234624 128 181544 8
72 0.058797 621284 275532 234624 128 181544 8
73 0.063264 663459 277497 275970 128 232360 9
74 0.061503 663459 277497 275970 128 232360 9
75 0.062334 684234 279054 295122 128 212040 9
76 0.060305 684234 279054 295122 128 212040 9
77 0.060977 724313 285423 327120 128 268104 10
78 0.061320 724313 285423 327120 128 268104 10
79 0.063620 748944 307728 319044 128 222248 8
80 0.063096 748944 307728 319044 128 222248 8
81 0.080017 805487 310173 375102 128 283816 9
82 0.075593 805487 310173 375102 128 283816 9
83 0.064819 830722 311898 398538 128 257352 9
84 0.065211 830722 311898 398538 128 257352 9
85 0.066983 877321 313923 443724 128 324680 10
86 0.067603 877321 313923 443724 128 324680 10
87 0.068139 898984 321024 455562 128 271816 9
88 0.069459 898984 321024 455562 128 271816 9
89 0.079997 965591 328461 513588 128 345160 10
90 0.073258 965591 328461 513588 128 345160 10
91 0.073708 995718 330354 541740 128 311784 10
92 0.071235 995718 330354 541740 128 311784 10
93 0.079096 1067269 355755 576966 128 391400 11
94 0.075294 1067269 355755 576966 128 391400 11
95 0.091235 1147884 444672 525108 128 319528 8
96 0.092638 1147884 444672 525108 128 319528 8
97 0.097345 1237483 451965 608622 128 405672 9
98 0.095056 1237483 451965 608622 128 405672 9
99 0.098153 1272934 454026 641922 128 364616 9
100 0.109353 1272934 454026 641922 128 364616 9
110 0.098748 1568845 479091 909270 128 537064 11
120 0.108168 1901640 549684 1146084 128 506216 10
130 0.390602 3918663 1908801 1143612 256 715528 9
140 0.395091 4349386 1932438 1549206 256 723528 10
150 0.426383 4893873 1997163 2010504 256 996168 11
160 0.452463 5441992 2228952 2222748 256 887848 9
170 0.506515 6218235 2260053 2971368 256 1238600 11
180 0.475319 6907774 2349030 3542556 256 1187560 11
190 0.520129 7924945 2602191 4195860 256 1617288 13
200 0.661036 9140784 3267072 4435230 256 1404616 10
210 0.682413 10223563 3361809 5397516 256 1877064 11
220 0.669196 11285346 3412710 6399354 256 1795464 12
230 0.790377 12554425 3762183 7168002 256 2347496 12
240 0.782415 13593324 3883896 8042220 256 2003816 11
250 0.904248 16096027 4643013 9431964 256 2691208 13
260 2.735231 27754114 13558854 7752684 512 2473128 10
270 2.913117 29509465 13622799 9434832 512 3268936 12
280 2.859294 31008864 13747392 10770930 512 2761928 11
290 3.124703 32876703 14167629 12041274 512 3577768 11
300 3.999878 34853706 14219586 13962828 512 3336168 12
310 2.827377 37036893 14377095 15938850 512 4282088 13
320 3.056767 38934312 15925176 15538116 512 3550248 10
330 3.064831 41897523 15987573 18448344 512 4683080 12
340 3.100909 44180146 16140630 20530176 512 4244200 12
350 3.116979 47014165 16319271 23125788 512 5514888 14
360 3.157681 49210592 16761516 24692772 512 4557160 12
370 3.243338 52513991 17024109 27640614 512 5843688 13
380 3.312090 55876854 17437986 30411228 512 5371688 14
390 4.455217 62406261 23111811 28478604 512 6765896 12
400 4.550249 65135980 23317284 30930162 512 5564616 11
410 4.522564 69587347 23417697 35273346 512 7251688 13
420 4.624076 72437414 24006030 37280652 512 6463464 12
430 4.704031 76869005 24108855 41594400 512 8317832 14
440 4.726146 80439184 24333816 44864406 512 6829064 13
450 5.003628 84346927 26617017 45403008 512 8621896 12
460 5.091811 88993410 26697294 49963722 512 7849096 13
470 5.080266 93878257 26911299 54571860 512 9858696 14
480 5.212905 96710556 27648288 56334804 512 7994216 12
490 5.215316 103590335 28050333 62667024 512 10344328 14
500 5.481933 109708170 29394414 66811212 512 9191208 14
510 9.073578 136090653 47247903 66456696 512 11738056 16
520 20.883790 196091844 95762772 53763588 1024 9503528 11
530 21.035614 202636583 96007749 59995914 1024 11994536 12
540 19.421490 208951646 96135450 66160152 1024 10850536 13
550 19.305212 214324633 96912363 70424988 1024 13480008 13
560 19.219056 219540772 97201596 75249486 1024 10915528 12
570 23.116626 228037731 97496073 83363886 1024 14037480 14
580 20.619369 231867322 100208874 83184990 1024 12324168 12
590 19.178080 240191953 100350579 91347138 1024 15672296 14
600 19.535179 246721632 100623492 97518396 1024 12696168 13
610 21.373227 253542531 101568897 102990528 1024 15862088 13
620 22.378259 261981694 101677494 111313602 1024 14276488 14
630 21.040252 270664761 102131451 119375232 1024 17740168 15
640 26.644040 275987320 112812456 108724572 1024 14199848 11
650 23.981103 287559347 112938405 120194496 1024 18202440 13
660 29.252259 295842810 113239782 128082048 1024 16008680 13
670 25.756562 305895909 113586903 137671380 1024 20266888 15
680 29.741439 312560124 114405228 143172432 1024 16266600 13
690 27.833294 323510731 114767661 153651162 1024 20352488 14
700 30.762158 333932442 115081938 163654344 1024 18254888 15
710 27.245528 339923933 118469031 164646126 1024 22468840 14
720 24.651535 348422092 118842024 172639164 1024 18035560 13
730 27.547960 362508179 119022117 186530988 1024 23027592 15
740 31.171227 370248026 120262722 192480066 1024 20081288 14
750 23.984536 383682497 120443307 205707414 1024 25358376 16
760 26.038012 394433356 121485900 214959012 1024 20389288 15
770 36.812958 427516515 163454157 185201382 1024 25264296 12
780 45.372746 440871558 163591074 198410016 1024 22584296 13
790 43.088628 454402365 163954359 211470594 1024 27892456 14
800 35.232700 461012844 165196548 216278238 1024 22204616 12
810 38.431384 478819007 165348609 233948298 1024 28294888 14
820 51.015746 491419506 165774546 245979726 1024 24734088 14
830 36.202177 505445997 166999707 258239070 1024 31138856 16
840 52.833255 511849744 170179644 259960644 1024 24809064 13
850 36.158061 528450043 170574861 276056610 1024 30880232 14
860 35.081159 544410386 170779362 291775248 1024 27547432 15
870 36.285290 556721633 172076451 302231520 1024 33771144 15
880 43.923062 569297412 172533204 314188698 1024 26963464 14
890 41.727387 589660371 173823633 332708610 1024 34260776 16
900 44.587008 593979770 188392686 315277704 1024 29681896 13
910 43.749298 613740881 188612151 334787052 1024 37323144 15
920 44.291556 628828840 189033384 349321470 1024 29855496 14
930 40.962753 643553119 190431381 362054574 1024 36888296 14
940 43.106541 662947242 190596618 381271968 1024 32832296 15
950 44.407953 682291309 191093007 399961350 1024 40375336 16
960 44.450418 684062868 196015248 394422156 1024 31955816 13
970 39.458146 710525311 196821453 419794944 1024 40568968 15
980 43.635072 728539214 197271150 437217816 1024 35314728 15
990 44.292879 750224993 197786751 458214468 1024 44301256 17
1000 44.238387 766341652 201235044 469253412 1024 35191208 15
