# N time_s adds subs muls divs peak_bytes peak_calls
1 0.000001 0 0 0 0 0 0
2 0.000009 0 2 8 3 136 2
3 0.000047 69 47 71 10 648 3
4 0.000032 69 47 71 10 648 3
5 0.000169 458 264 397 28 1672 4
6 0.000158 458 264 397 28 1672 4
7 0.000277 1006 572 533 28 2696 4
8 0.000284 1006 572 533 28 2696 4
9 0.000670 2563 1263 1945 72 4648 5
10 0.000702 2563 1263 1945 72 4648 5
11 0.000770 3123 1425 2338 72 6184 5
12 0.000735 3123 1425 2338 72 6184 5
13 0.001178 6294 2956 3564 72 9416 6
14 0.001264 6294 2956 3564 72 9416 6
15 0.002106 9896 5282 3779 72 10888 5
16 0.002094 9896 5282 3779 72 10888 5
17 0.003287 15737 7229 9379 176 15656 6
18 0.003051 15737 7229 9379 176 15656 6
19 0.003715 17151 7519 10486 176 17448 6
20 0.003343 17151 7519 10486 176 17448 6
21 0.003608 21338 8382 13932 176 24008 7
22 0.003759 21338 8382 13932 176 24008 7
23 0.004227 24224 9786 14866 176 24616 6
24 0.004136 24224 9786 14866 176 24616 6
25 0.006065 36993 14513 21990 176 33224 7
26 0.005880 36993 14513 21990 176 33224 7
27 0.006548 39621 14931 24171 176 34504 7
28 0.006153 39621 14931 24171 176 34504 7
29 0.009907 59848 26214 28229 176 45416 8
30 0.009667 59848 26214 28229 176 45416 8
31 0.012146 82748 42866 26357 176 43656 6
32 0.009816 82748 42866 26357 176 43656 6
33 0.011764 104429 47989 47821 416 57128 7
34 0.011876 104429 47989 47821 416 57128 7
35 0.012205 108631 48535 51436 416 57128 7
36 0.012249 108631 48535 51436 416 57128 7
37 0.012088 120274 50078 61722 416 73416 8
38 0.012288 120274 50078 61722 416 73416 8
39 0.012005 126098 52578 64054 416 68648 7
40 0.012121 126098 52578 64054 416 68648 7
41 0.013474 147563 55385 83610 416 88008 8
42 0.019944 147563 55385 83610 416 88008 8
43 0.018982 153699 56059 89019 416 85960 8
44 0.015280 153699 56059 89019 416 85960 8
45 0.017243 174806 62982 100901 416 108648 9
46 0.017608 174806 62982 100901 416 108648 9
47 0.020262 188694 73380 99502 416 98344 7
48 0.018958 188694 73380 99502 416 98344 7
49 0.020318 237215 86311 133470 416 124616 8
50 0.020783 237215 86311 133470 416 124616 8
51 0.021604 245645 87113 141033 416 119752 8
52 0.021647 245645 87113 141033 416 119752 8
53 0.021742 268392 89336 161807 416 149864 9
