# N time_s adds subs muls divs peak_bytes peak_calls
61 0.056374 234453 5859 244218 64 125000 7
62 0.048033 234453 5859 244218 64 125000 7
63 0.049688 252000 6048 262080 64 131048 7
64 0.052509 252000 6048 262080 64 131048 7
65 0.052358 289951 7581 302586 128 143816 8
66 0.052696 289951 7581 302586 128 143816 8
67 0.055161 309818 7782 322788 128 150248 8
68 0.060819 309818 7782 322788 128 150248 8
69 0.059193 341577 8199 355242 128 160232 8
70 0.054446 341577 8199 355242 128 160232 8
71 0.060120 363908 8412 377928 128 167048 8
72 0.057559 363908 8412 377928 128 167048 8
73 0.062019 405603 9081 420738 128 179432 8
74 0.061542 405603 9081 420738 128 179432 8
75 0.064236 430542 9306 446052 128 186632 8
76 0.063788 430542 9306 446052 128 186632 8
77 0.066234 470141 9771 486426 128 197768 8
78 0.062861 470141 9771 486426 128 197768 8
79 0.065522 497832 10008 514512 128 205352 8
80 0.066665 497832 10008 514512 128 205352 8
81 0.079877 553127 11013 571482 128 220136 8
82 0.072405 553127 11013 571482 128 220136 8
83 0.077553 583714 11262 602484 128 228104 8
84 0.073898 583714 11262 602484 128 228104 8
85 0.080545 632017 11775 651642 128 240392 8
86 0.079985 632017 11775 651642 128 240392 8
87 0.080470 665644 12036 685704 128 248744 8
88 0.084276 665644 12036 685704 128 248744 8
89 0.096718 727691 12849 749106 128 263816 8
90 0.091512 727691 12849 749106 128 263816 8
91 0.098138 764502 13122 786372 128 272552 8
92 0.097595 764502 13122 786372 128 272552 8
93 0.104918 822373 13683 845178 128 285992 8
94 0.120474 822373 13683 845178 128 285992 8
95 0.115734 862512 13968 885792 128 295112 8
96 0.113586 862512 13968 885792 128 295112 8
97 0.130121 944815 15501 970650 128 313448 8
98 0.122411 944815 15501 970650 128 313448 8
99 0.126124 988426 15798 1014756 128 322952 8
100 0.127002 988426 15798 1014756 128 322952 8
110 0.274230 1320973 18651 1352058 128 391208 8
120 0.300027 1697340 21780 1733640 128 461768 8
130 0.439030 2206527 27837 2252922 256 549416 9
140 0.443875 2716654 31098 2768484 256 630632 9
150 0.535997 3364209 35487 3423354 256 726632 9
160 0.525193 4035664 39216 4101024 256 819752 9
170 0.671565 4912659 45225 4988034 256 933992 9
180 0.733447 5788882 49998 5872212 256 1041416 9
190 0.866147 6824149 55011 6915834 256 1161512 9
200 1.145128 7926852 61596 8029512 256 1282952 9
210 1.372139 9271399 68421 9385434 256 1423592 9
220 1.622744 10567446 73602 10690116 256 1552808 9
230 2.060924 12144025 81111 12279210 256 1703048 9
240 2.574142 13690680 86760 13835280 256 1844168 9
250 3.118624 15609499 94881 15767634 256 2012072 9
260 3.844677 17510554 106374 17687844 512 2171816 10
270 4.346649 19637341 113547 19826586 512 2343752 10
280 3.439283 21799308 120996 22000968 512 2512232 10
290 3.607978 24423951 131373 24642906 512 2709416 10
300 3.761982 26865918 138474 27096708 512 2886632 10
310 3.887554 29737473 147663 29983578 512 3088232 10
320 4.143348 32519328 155232 32778048 512 3277352 10
330 4.400640 35944035 168057 36224130 512 3503048 10
340 4.734255 39158818 177150 39454068 512 3708392 10
350 5.112327 42765925 186483 43076730 512 3932168 10
360 5.588896 46407764 197196 46736424 512 4151816 10
370 6.001082 50673911 209301 51022746 512 4401896 10
380 6.588255 54621798 218322 54985668 512 4627112 10
390 7.427883 59276649 233703 59666154 512 4885832 10
400 8.091846 63653704 243192 64059024 512 5122952 10
410 9.234599 68903083 256593 69330738 512 5400296 10
420 10.125624 73888298 269142 74336868 512 5657192 10
430 11.261771 79364525 280635 79832250 512 5932808 10
440 12.716046 84780892 292404 85268232 512 6199208 10
450 15.278333 91211743 309981 91728378 512 6508232 10
460 16.149407 97025550 320922 97560420 512 6781448 10
470 17.831602 103705105 334911 104263290 512 7088648 10
480 19.913213 110037360 346320 110614560 512 7373768 10
490 21.701562 117634355 363849 118240770 512 7708808 10
500 25.030021 124656498 377262 125285268 512 8012072 10
510 24.903987 132390645 390915 133042170 512 8339528 10
520 25.250011 140139108 415548 140831688 1024 8661416 11
530 31.458369 148968455 432933 149690010 1024 9020936 11
540 36.826633 157008182 445794 157751172 1024 9342152 11
550 32.627197 166271161 463863 167044266 1024 9705512 11
560 33.532470 174918616 477192 175713936 1024 10038632 11
570 34.534985 185140155 495873 185966610 1024 10425416 11
580 34.129726 194761402 515046 195619812 1024 10783016 11
590 31.033146 205142269 530859 206027034 1024 11162312 11
600 35.638481 215281836 546948 216193416 1024 11526632 11
610 36.922852 227114799 568845 228062874 1024 11944616 11
620 36.623224 237740446 583626 238713156 1024 12313832 11
630 35.992624 249812001 602415 250816026 1024 12726632 11
640 36.333116 261134656 617664 262164096 1024 13107752 11
650 37.453889 274667267 645081 275742402 1024 13556264 11
660 38.802269 286965570 662814 288070260 1024 13957448 11
670 41.351908 300381957 680787 301516602 1024 14388584 11
680 41.226826 313563636 701100 314732136 1024 14805992 11
690 44.225848 328597783 723765 329804058 1024 15274952 11
700 47.157779 342169350 740466 343403460 1024 15692168 11
710 54.427871 357745673 766023 359022378 1024 16164296 11
720 65.845686 372103528 783192 373408848 1024 16593416 11
730 51.109477 388938827 807153 390284082 1024 17089640 11
740 55.643844 404581322 829302 405963492 1024 17544296 11
750 57.676470 421422029 849435 422837754 1024 18027272 11
760 62.918519 437753596 869844 439203336 1024 18489512 11
770 72.253537 456829311 905085 458337786 1024 19022216 11
780 75.273970 473706798 923706 475246308 1024 19487432 11
790 93.635873 492754353 947295 494333178 1024 20005832 11
800 77.841809 510507408 966384 512118048 1024 20482952 11
810 81.492859 531448403 995433 533107458 1024 21038792 11
820 77.713968 550491666 1017486 552187476 1024 21537896 11
830 82.628889 571145493 1039779 572878458 1024 22072712 11
840 91.108083 591422596 1067484 593201736 1024 22591592 11
850 91.982706 614303143 1095429 616128858 1024 23169992 11
860 95.499942 634846550 1115970 636706500 1024 23683208 11
870 106.616824 658189529 1144599 660097194 1024 24259688 11
880 110.819962 679697784 1165608 681640464 1024 24784808 11
890 116.642435 704788443 1194849 706779858 1024 25390472 11
900 120.633019 728160986 1227462 730206756 1024 25948232 11
910 132.489496 753016733 1251915 755103258 1024 26534888 11
920 127.869781 777009100 1276644 779136840 1024 27095048 11
930 130.145390 804674383 1310061 806857818 1024 27733832 11
940 139.039940 829243710 1332522 831464580 1024 28295048 11
950 141.425928 856851265 1360911 859119450 1024 28919048 11
960 146.075975 882474720 1383840 884781120 1024 29492168 11
970 150.154875 912705187 1421625 915074562 1024 30161384 11
980 157.791056 939962210 1447998 942375540 1024 30758408 11
990 168.018426 969408677 1474611 971866362 1024 31396904 11
1000 174.899566 998062996 1504524 1000570536 1024 32012072 11
