# N time_s adds subs muls divs peak_bytes peak_calls
1 0.000001 0 0 0 1 0 0
2 0.000006 1 3 6 2 104 2
3 0.000018 30 18 60 4 488 3
4 0.000016 30 18 60 4 488 3
5 0.000064 177 63 282 8 1352 4
6 0.000056 177 63 282 8 1352 4
7 0.000094 364 84 504 8 2024 4
8 0.000095 364 84 504 8 2024 4
9 0.000174 979 201 1314 16 3752 5
10 0.000166 979 201 1314 16 3752 5
11 0.000225 1470 234 1860 16 4808 5
12 0.000245 1470 234 1860 16 4808 5
13 0.000575 2541 315 3066 16 6728 5
14 0.000479 2541 315 3066 16 6728 5
15 0.000813 3480 360 4080 16 8168 5
16 0.001072 3480 360 4080 16 8168 5
17 0.001888 5927 645 7002 32 11528 6
18 0.001859 5927 645 7002 32 11528 6
19 0.001842 7458 702 8628 32 13352 6
20 0.002110 7458 702 8628 32 13352 6
21 0.002751 10321 831 11706 32 16424 6
22 0.002639 10321 831 11706 32 16424 6
23 0.003189 12588 900 14088 32 18632 6
24 0.003235 12588 900 14088 32 18632 6
25 0.005170 17419 1137 19314 32 22952 6
26 0.005110 17419 1137 19314 32 22952 6
27 0.006867 20566 1218 22596 32 25544 6
28 0.005924 20566 1218 22596 32 25544 6
29 0.009526 26085 1395 28410 32 29768 6
30 0.009500 26085 1395 28410 32 29768 6
31 0.011935 30256 1488 32736 32 32744 6
32 0.009902 30256 1488 32736 32 32744 6
33 0.006410 39887 2157 43482 64 39272 7
34 0.010715 39887 2157 43482 64 39272 7
35 0.009246 45226 2262 48996 64 42632 7
36 0.007229 45226 2262 48996 64 42632 7
37 0.007694 54265 2487 58410 64 48008 7
38 0.007606 54265 2487 58410 64 48008 7
39 0.008313 60916 2604 65256 64 51752 7
40 0.008170 60916 2604 65256 64 51752 7
41 0.009756 74003 2985 78978 64 58760 7
42 0.009100 74003 2985 78978 64 58760 7
43 0.011681 82110 3114 87300 64 62888 7
44 0.010368 82110 3114 87300 64 62888 7
45 0.013053 95533 3387 101178 64 69416 7
46 0.012706 95533 3387 101178 64 69416 7
47 0.013673 105240 3528 111120 64 73928 7
48 0.014535 105240 3528 111120 64 73928 7
49 0.018889 125463 4149 132378 64 82952 7
50 0.017925 125463 4149 132378 64 82952 7
51 0.022034 136914 4302 144084 64 87848 7
52 0.021678 136914 4302 144084 64 87848 7
53 0.025283 155585 4623 163290 64 95528 7
54 0.032719 155585 4623 163290 64 95528 7
55 0.028099 168924 4788 176904 64 100808 7
56 0.027563 168924 4788 176904 64 100808 7
57 0.033280 194299 5313 203154 64 110504 7
58 0.033589 194299 5313 203154 64 110504 7
59 0.036786 209670 5490 218820 64 116168 7
60 0.037093 209670 5490 218820 64 116168 7
