# N czas_s adds subs muls divs peak_bytes peak_calls
440 3.447374 68037574 20547462 37409981 0 8377864 13
450 3.813555 70847236 22425192 37411948 0 10241896 12
460 3.754295 75105070 22500666 41565671 0 9541896 13
470 3.857293 79161638 22685220 45354708 0 11625896 14
480 3.973169 81735226 23337912 46958758 0 9837416 12
490 3.885080 86853074 23408364 51980628 0 12265128 14
500 4.004090 91112552 23616036 55938498 0 11191208 14
510 4.012654 96665642 23689104 61392086 0 13818856 16
520 13.975575 164746552 80254908 44634590 0 11666728 11
530 13.663592 169848068 80464950 49431543 0 14241736 12
540 13.918283 175711252 80553744 55172236 0 13183336 13
550 14.054273 179972610 81245916 58406236 0 15900008 13
560 14.104879 184626218 81520614 62658897 0 13424328 12
570 14.140133 191552276 81602706 69473117 0 16636680 14
580 14.231064 194710652 84062802 68952849 0 15015368 12
590 14.281231 202141672 84147510 76268507 0 18457096 14
600 14.159169 207491590 84440040 81191530 0 15576168 13
610 15.149010 212542242 85215324 85091356 0 18838888 13
620 14.825824 220266976 85317438 92675219 0 17351688 14
630 15.282356 227451714 85566432 99498966 0 20915368 15
640 16.114222 232247812 94711788 90589730 0 17476648 11
650 15.805402 241255080 94805520 99469300 0 21582440 13
660 15.622563 248568808 95080992 106382920 0 19493480 13
670 15.621346 258150758 95177340 115833648 0 23858088 15
680 15.819737 262818804 96100296 119130760 0 19965800 13
690 16.689977 271372730 96374778 127286663 0 24161288 14
700 16.145417 281215214 96490212 136969896 0 22174888 15
710 16.970108 285508768 99508566 136750019 0 26501640 14
720 17.797644 293071726 99862824 143795890 0 22182760 13
730 16.465673 304433204 99968196 155013810 0 27290792 15
740 16.413624 310906468 100925838 160065311 0 24462088 14
750 16.859675 322912348 101033826 171924109 0 29858376 16
760 16.318342 331357256 101405916 179825982 0 25010088 15
770 23.212284 358166858 137180190 152989473 0 30007496 12
780 22.514215 370383292 137308944 165028276 0 27451496 13
790 22.914243 381582400 137622378 175772933 0 32885256 14
800 23.696715 387597698 138722310 180154233 0 27324616 12
810 22.624213 401586386 138839322 193983503 0 33543688 14
820 23.049813 412773364 139182594 204671873 0 30113288 14
830 23.664885 427476174 139302222 219211741 0 36650056 16
840 23.642431 430048402 142969848 216299230 0 30453864 13
850 23.831188 442940938 143308770 228700283 0 36660232 14
860 23.260923 457787522 143450844 243350856 0 33464232 15
870 23.614910 467412510 144560016 251329386 0 39826344 15
880 24.247033 478586218 144993834 261869867 0 33158664 14
890 23.867169 495475116 145122486 278583487 0 40597576 16
900 25.220673 498360652 158191344 261883636 0 36161896 13
910 25.133226 516033392 158322612 279377574 0 43947944 15
920 25.784606 528274690 158774262 290959697 0 36626696 14
930 25.636781 539049332 159966546 299964413 0 43807496 14
940 25.958511 556782266 160121940 317482956 0 39901096 15
950 26.307864 572881944 160499814 333034723 0 47595336 16
960 26.500412 574911382 164747784 328711306 0 39328616 13
970 25.865426 594973490 164888076 348582276 0 48096168 15
980 25.952357 610852718 165299148 363864396 0 42997928 15
990 26.759917 631768388 165442056 384585404 0 52142056 17
1000 26.851480 640787864 166812252 391569486 0 43191208 15
